"","nll","value","inside","outside"
"1","nll_pe",-1.98956121065737,-1.9848,-1.9848
"2","nll_biomass",-11.9822711051346,-11.9816,-11.9816
"3","nll_cpue",-1.16401195683349,-1.16962,-1.16962
"4","jnll",-15.1358442726255,-15.1361,-15.1361
"5","mnll",30.6818967486481,30.6818980529816,50.0722557503415
